auto_name,param,required,default_kind,default_scalar,default_obj_id,kind
AutoStemGNN,h,True,empty,,,POSITIONAL_OR_KEYWORD
AutoStemGNN,loss,False,object,,8457c3e30e7f,POSITIONAL_OR_KEYWORD
AutoStemGNN,n_series,True,empty,,,POSITIONAL_OR_KEYWORD
AutoStemGNN,num_samples,False,scalar,10,,POSITIONAL_OR_KEYWORD
AutoStemGNN,refit_with_val,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoStemGNN,search_alg,False,object,,533e6ebe1215,POSITIONAL_OR_KEYWORD
AutoStemGNN,valid_loss,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoStemGNN,verbose,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoTCN,alias,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoTCN,backend,False,scalar,ray,,POSITIONAL_OR_KEYWORD
AutoTCN,callbacks,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoTCN,config,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoTCN,cpus,False,scalar,32,,POSITIONAL_OR_KEYWORD
AutoTCN,gpus,False,scalar,1,,POSITIONAL_OR_KEYWORD
AutoTCN,h,True,empty,,,POSITIONAL_OR_KEYWORD
AutoTCN,loss,False,object,,8457c3e30e7f,POSITIONAL_OR_KEYWORD
AutoTCN,num_samples,False,scalar,10,,POSITIONAL_OR_KEYWORD
AutoTCN,refit_with_val,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoTCN,search_alg,False,object,,533e6ebe1215,POSITIONAL_OR_KEYWORD
AutoTCN,valid_loss,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoTCN,verbose,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoTFT,alias,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoTFT,backend,False,scalar,ray,,POSITIONAL_OR_KEYWORD
AutoTFT,callbacks,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoTFT,config,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoTFT,cpus,False,scalar,32,,POSITIONAL_OR_KEYWORD
AutoTFT,gpus,False,scalar,1,,POSITIONAL_OR_KEYWORD
AutoTFT,h,True,empty,,,POSITIONAL_OR_KEYWORD
AutoTFT,loss,False,object,,8457c3e30e7f,POSITIONAL_OR_KEYWORD
